"ID","Area","Feature","UserStory","UserRole","Route","ExpectedBehavior","AcceptanceCriteria","EdgeCases","TestSteps","CurrentStatus","ErrorsFound","Severity","FixStatus","RetestStatus","Notes"
"RGN1","Register","Resend OTP (registration flow)","As a new user I want to resend my signup verification code if I didn't receive it","Rider","app/register/verify.tsx","60s countdown then Resend link re-calls signInWithPhone(phone) and resets the timer to 60 — identical pattern to auth/verify.tsx (A3), but never independently tracked for the registration route.","Resend link only appears once the 60s countdown reaches 0; Tapping Resend re-triggers signInWithPhone and resets the visible timer to 60; Behaves identically to the auth/verify.tsx Resend (A3, already fixed there)","Rapid repeated taps before the timer visibly resets could send multiple OTP requests; Resend failure is not surfaced to the user (no Alert on error); Never explicitly regression-tested on this specific route even though A3 caught a real bug in the sibling screen","1) Start signup at /register/phone with a fresh number 2) On /register/verify wait for the countdown to reach 0:00 3) Tap Resend 4) Confirm the timer resets to 1:00 and a fresh code (123456 in test env) verifies successfully","Passed","","","","","GAP: register/verify.tsx has its own Resend implementation that mirrors auth/verify.tsx (A3) but was never separately tracked; code inspection shows it already correctly calls signInWithPhone, but no dedicated test pass exists for this route. Code-walk confirms register/verify.tsx:124 Resend calls signInWithPhone(phone||'') then setTimer(60) — identical to the fixed A3 pattern. Same residual gaps: no Alert on resend failure, no in-flight guard against rapid taps, local-only timer. | Verified: code-walk"
"PR1","Profile","Own profile card","As a user I want to see my own profile (avatar/level/streak/bio/home route)","Rider","app/(tabs)/profile.tsx","InitialsAvatar with a level-colored ring, streak Flame badge (only if current_streak>0), level pill w/ emoji, bio + home route line (if present); loads real points/streak via useApp/getOrCreateProfile.","Avatar ring color matches LEVELS[current_level].color; Streak flame badge renders only when current_streak > 0; Bio card renders only if profile.bio or profile.home_route_label is present; No error Alert/toast on normal load, and Points/Streak stat values reflect real Supabase data","profile null/undefined on first mount before AppContext resolves falls back to 'Commuter' + passenger level without crashing; deviceId not yet available is now guarded (won't throw a raw TypeError); Long bio text wraps within the bio card with only default text wrapping (no overflow handling)","1) Sign in as +233200000000 / OTP 123456 2) Navigate to the Profile tab 3) Confirm avatar, level pill, streak flame (if streak>0), and Points/Streak values render with no error toast 4) Force-quit and relaunch quickly to hit the early-mount race and confirm no crash/error toast","Passed","BUG (fixed): getOrCreateProfile previously threw a raw TypeError on a transient/early-mount fetch (no deviceId guard or retry), surfacing an error toast and zeroing out stats even though the profile existed.","High","Fixed","Passed","KnownConcerns: added a deviceId guard + 1 retry + warn-not-error; retested and confirmed it loads Points/Streak correctly with no toast. Code confirms: ring color from LEVELS[current_level].color ((tabs)/profile.tsx:30,56), Flame badge only when current_streak>0 (62-66), bio card conditional on bio/home_route_label (78-95), null-profile fallback to 'Commuter'/passenger (30,69). getOrCreateProfile guard+retry confirmed at lib/services/rewards.ts:18,24-35 (warn-not-error). | Verified: code-walk"
"PR2","Profile","Profile stats tap-through","As a user I want to tap my Followers/Following/Points/Streak","Rider","app/(tabs)/profile.tsx","Followers/Following stat boxes navigate to /profile/followers?id={deviceId}&tab=followers|following (profile.tsx onPress handlers); Points/Streak boxes are plain Views (display-only, no onPress).","Tapping the Followers box navigates with tab=followers; Tapping the Following box navigates with tab=following; Points and Streak boxes have no navigation attached (not TouchableOpacity)","deviceId null is guarded via `deviceId &&` in the onPress so nothing happens (no crash, no navigation); Small tap target + uppercase textTransform on labels makes automated (Maestro) coordinate-based taps unreliable, requiring code-level verification instead","1) On the Profile tab tap the Followers stat box 2) Confirm /profile/followers opens with the Followers tab pre-selected 3) Go back, tap the Following box 4) Confirm the Following tab is pre-selected 5) Tap the Points/Streak boxes and confirm no navigation occurs","Passed","","","","","KnownConcerns: navigation confirmed wired in code (profile.tsx lines ~100/107); UI coordinate-tap automation was inconclusive due to small target + text transform, so this was code-verified rather than Maestro-verified. Code confirms Followers/Following onPress with `deviceId &&` guard ((tabs)/profile.tsx:101,108) navigating to /profile/followers?id=...&tab=...; Points/Streak boxes are plain Views (113-120). | Verified: code-walk"
"PR3","Profile","Spending summary","As a user I want my monthly transit spend","Rider","app/(tabs)/profile.tsx (renders components/SpendingSummary.tsx)","Renders a current-month summary (Trips/Spent/Avg) plus Top Routes using real transaction/booking data.","Card renders Trips count, Spent total (GH₵), and Avg fare from real aggregated data, not mock; Top Routes list reflects the user's actual most-used routes for the current month; Component handles a user with zero trips gracefully (zero/empty state, no crash)","New user with no bookings/transactions this month shows zero values rather than a blank screen or crash; Month-rollover boundary (e.g. testing on the 1st) should reset the summary to the new month; No explicit loading skeleton noted while the aggregation query runs","1) On the Profile tab scroll to the Spending Summary card 2) Confirm it shows this month's Trips/Spent/Avg + Top Routes 3) Cross-check totals against wallet/transactions for the same period for consistency","Passed","","","","","KnownConcerns: none noted in the original audit. Code-walk of components/SpendingSummary.tsx: real aggregation from points_history reason='fare_report' joined to fare_reports (44-95), month-window + prev-month comparison, top-3 routes. Flags: (1) 'Spent' totals are self-reported fare reports, NOT wallet/booking transactions — the cross-check test step will not reconcile with wallet history; (2) zero-trip month renders NOTHING (early return at :62, component returns null at :121) — graceful but there is no zero/empty state card; (3) no loading skeleton (card pops in). | Verified: code-walk"
"PR4","Profile","Profile menu links","As a user I want quick links Notifications/Settings/Privacy/Help","Rider","app/(tabs)/profile.tsx","Rows navigate: Notifications -> /activity (badge shows unreadCount), Settings -> /settings, Privacy -> /privacy; Help & Support opens mailto:support@troski.me (with a graceful catch if no mail client is available).","Notifications row shows a red badge with unreadCount when >0; Settings row navigates to /settings; Privacy row navigates to /privacy; Help & Support opens the system mail composer addressed to support@troski.me, with .catch(()=>{}) swallowing failures silently","No mail client installed on the device/simulator causes Linking.openURL to reject, caught silently with zero user feedback (dead-end UX); unreadCount undefined or 0 correctly hides the badge (badge != null && badge > 0 check)","1) On the Profile tab note the Notifications badge count if any 2) Tap Notifications, confirm /activity opens 3) Go back, tap Settings, confirm /settings opens 4) Go back, tap Privacy, confirm /privacy opens 5) Tap Help & Support, confirm the mail composer attempts to open (or silently no-ops without a configured mail account)","Passed","BUG (fixed): Help & Support was previously mislabeled to open /terms instead of the support mail composer.","Medium","Fixed","Passed","KnownConcerns: Help & Support mislabeling fixed; now correctly opens mailto:support@troski.me. Code confirms: Notifications -> /activity with unreadCount badge ((tabs)/profile.tsx:33, badge render 142-146; route exists at app/(tabs)/activity.tsx), Settings -> /settings (34), Privacy -> /privacy (35), Help & Support mailto:support@troski.me with silent .catch (36). Silent mail-client failure UX gap stands. | Verified: code-walk"
"PR5","Profile","Edit + sign out","As a user I want to edit profile / sign out","Rider","app/(tabs)/profile.tsx","Header pencil icon -> /settings/edit-profile; Sign Out shows a confirm Alert -> supabase.auth.signOut() + AsyncStorage 'troski_signed_out'=true -> router.replace('/auth/phone').","Edit (pencil) icon in the header navigates to /settings/edit-profile; Sign Out shows a native Alert with Cancel/Sign Out(destructive); Confirming calls supabase.auth.signOut(), sets the signed-out flag, and replaces route to /auth/phone; Cancel leaves the user on Profile unchanged","supabase.auth.signOut() failures are not explicitly handled (no try/catch) — could leave the local signed-out flag set while a remote session lingers; No cancellation of other in-flight profile requests when signing out mid-navigation","1) On the Profile tab tap the pencil edit icon, confirm /settings/edit-profile opens 2) Go back, tap Sign Out, tap Cancel, confirm no change 3) Tap Sign Out again, confirm the destructive option, tap Sign Out 4) Confirm redirect to /auth/phone 5) Re-login with +233200000000 / OTP 123456 to confirm the session was fully cleared","Passed","","","","","KnownConcerns: sign-out path verified earlier under SET5 (identical pattern); edit navigation confirmed wired. Code confirms pencil -> /settings/edit-profile ((tabs)/profile.tsx:46), Sign Out confirm Alert -> supabase.auth.signOut() + troski_signed_out flag + replace('/auth/phone') (156-172). signOut still has no error handling — caveat stands. | Verified: code-walk"
"P4","Profile","Creator profile","As a user I want to view a user's profile","Rider","app/profile/[deviceId].tsx","Avatar, level pill, meta (home route, join date), XP bar computed from real LEVELS tier bounds (was hardcoded thresholds), 2x2 stats grid (Reports/Streak/XP/Pulse), Followers/Following tap-through, Trophy Case badges, Follow button (hidden on own profile).","XP progress bar % is computed from LEVELS[level].min_points/max_points with Math.max(1,...) guarding divide-by-zero, not hardcoded thresholds; Own profile (myDeviceId === profileDeviceId) hides the Follow button; Followers/Following stat rows navigate to /profile/followers with the correct tab param; Trophy Case section renders only when badges.length > 0","Profile not found (bad/deleted deviceId) shows 'Profile not found' + Go back link, no crash; Top-tier user (max_points = Infinity) uses the isTopTier branch to show 'MAX'/100% instead of dividing by Infinity; isLoading state shows a centered spinner before data resolves","1) From Pulse or Leaderboard, tap another user's avatar/name to open their profile 2) Confirm the XP bar and stats render without errors 3) Tap Follow, confirm the button state toggles 4) Tap Followers/Following stat, confirm followers.tsx opens for that profile 5) Open your own profile via a similar path and confirm no Follow button appears","Passed","BUG (fixed): the XP bar previously used a hardcoded threshold array instead of the real LEVELS tier bounds, producing an incorrect percentage/next-level mapping.","Medium","Fixed","Passed","KnownConcerns: XP bar now uses real LEVELS bounds; retested and confirmed correct mapping. Code confirms: XP % from LEVELS min/max with Math.max(1,..) and isTopTier=!isFinite(max_points) branch showing MAX/100% (profile/[deviceId].tsx:59-66,120-122; LEVELS bounds real in lib/constants/rewards.ts), Follow button hidden when myDeviceId===profileDeviceId (56,88), Followers/Following tap-through (155-169), Trophy Case only when badges.length>0 (173), not-found + spinner states (34-51). | Verified: code-walk"
"P5","Profile","Followers/Following","As a user I want my social graph","Rider","app/profile/followers.tsx","Two tabs (Followers/Following), paginated 20/page via a created_at keyset cursor, each row a UserRow + Follow button.","Switching tabs resets cursor/users and refetches for the new relationship direction; 'Load more' appears only when more than 20 results exist and fetches the next page using the last created_at cursor; Viewer's own is_following state is correctly computed against the displayed list; Empty state text differs by tab ('No followers yet' vs 'Not following anyone yet')","profileDeviceId missing from route params causes fetchList to no-op (guarded), leaving the list empty; Supabase query errors are silently swallowed in an empty catch block with no user-facing error state; No search/sort — large follower lists have no way to find a specific user","1) Open a profile with followers 2) Tap the Followers stat to land on followers.tsx?tab=followers 3) Confirm the list loads and Follow buttons reflect the current relationship state 4) Switch to the Following tab, confirm it refetches 5) If >20 entries exist, tap Load more and confirm additional rows append","Passed","","","","","KnownConcerns: no search/sort on the follower/following list — a real usability gap for high-follower profiles, but functionally correct. Code confirms: tab switch resets cursor/users + refetch (followers.tsx:100-104), 21-fetch/20-show keyset pagination on created_at with lt cursor (34-50), viewer is_following computed per page (68-86), per-tab empty copy (140-142), missing id param no-ops (26). Errors still swallowed in empty catch (93-94); no search/sort. | Verified: code-walk"
"SET1","Settings","Theme selection","As a user I want light/dark/system","Rider","app/settings/index.tsx","3 buttons (System/Light/Dark) render with an active highlight from prefs.theme, but handleThemeChange always calls Appearance.setColorScheme('light') regardless of the tapped option — dark mode is globally disabled by design (per CLAUDE.md).","Tapping any of the 3 options calls Appearance.setColorScheme('light') (deliberate no-op for Dark/System); Active-option highlight is driven by prefs.theme even though the visual theme never actually changes; No crash or visual regression when tapping Dark or System","prefs.theme can show 'active' on Dark/System while the rendered UI stays light — a visibly misleading state; No reconciliation between the stored preference and the always-light rendered theme","1) Open Settings 2) Tap Dark, confirm the UI stays light (no visual change) 3) Tap System, confirm the same 4) Tap Light, confirm no crash","Passed","","","","","KnownConcerns: Theme toggle is a no-op by design; dark mode intentionally disabled app-wide per CLAUDE.md. Code confirms handleThemeChange ignores the tapped mode and always sets 'light' (settings/index.tsx:58-61) — deliberate per CLAUDE.md; active highlight driven by prefs.theme (140). Note prefs.theme is never updated by these buttons (no updatePref call), so the highlight stays on the stored default rather than the tapped option — misleading but by-design-adjacent. | Verified: code-walk"
"SET2","Settings","Language selection","As a user I want to change language","Rider","app/settings/index.tsx","'App Language' row opens a native Alert listing all languages from useLanguage(); selecting one calls setLanguage(code), persisted via AsyncStorage; only 'critical' screens (per I1) actually render translated strings.","Alert lists all available languages with a checkmark next to the currently active one; Selecting a language updates the row's displayed native name immediately; Selection persists across app restarts (AsyncStorage-backed)","Most screens remain hardcoded English even after switching language, a visible inconsistency; Cancel option in the Alert leaves the language unchanged; No in-app indication of which screens are/aren't translated yet","1) Open Settings > App Language 2) Select a non-English language (e.g. Twi) 3) Confirm the row updates to the new native name 4) Navigate to the Home tab and confirm only 'critical' strings translate, the rest remain English 5) Restart the app and confirm the language choice persisted","Passed","","","","","KnownConcerns: only critical screens are wired for translation; most strings still English — full i18n coverage is a larger follow-up. Code confirms Alert lists all languages with ' ✓' on the active one and Cancel (settings/index.tsx:164-172), row shows active native name (175-177), setLanguage persists to '@troski_language_v1' (lib/i18n/index.ts:11,25-29) and loadLanguage restores at boot (app/_layout.tsx:139). Only critical screens translated — known scope limit. | Verified: code-walk"
"SET3","Settings","Push notifications toggle","As a user I want to control push","Rider","app/settings/index.tsx","Switch persists prefs.pushNotifications via updatePref (usePreferences hook); no link to OS-level notification settings.","Toggling the switch immediately updates prefs.pushNotifications and persists across app restart; Switch itself does not register/unregister push tokens (that's handled separately by usePushNotifications)","User with OS-level notifications disabled still sees this toggle as ON with no cross-check, which is misleading; No deep link to the OS Settings app to fix a real permission mismatch","1) Open Settings, toggle Push Notifications off then on 2) Force-quit and reopen the app, confirm the switch state persisted","Passed","","","","","KnownConcerns: no link to OS settings if the user has actually disabled notifications at the system level. Code confirms switch persists via updatePref('pushNotifications') (settings/index.tsx:193-194) to '@troski_preferences_v2' (usePreferences.ts:4,35-44); pref IS consumed — app/_layout.tsx:123 passes it to usePushNotifications. No OS-settings deep link — known gap stands. | Verified: code-walk"
"SET4","Settings","Profile visibility","As a user I want to hide from leaderboard","Rider","app/settings/index.tsx","Switch persists prefs.profileVisibility, intended to control whether the user appears on the leaderboard.","Toggling the switch updates prefs.profileVisibility and persists across restarts; Description text correctly states 'Show your name on the leaderboard'","No immediate visible confirmation that the leaderboard actually hides the name (effect is only observable on the separate Leaderboard screen); Toggle state and backend leaderboard behavior aren't cross-verified in this screen","1) Open Settings, toggle Profile Visibility off 2) Open Leaderboard, confirm name is hidden/anonymized per backend behavior 3) Toggle back on and re-check","Passed","","","Fixed","Passed","KnownConcerns: none. Local persistence itself verified working; defect is that the preference has no effect. Either wire the switch to is_public or remove it. | Verified: code-walk | Fixed+retested 2026-07-04 (code-verified, typecheck clean)"
"SET5","Settings","Sign out","As a user I want to sign out","Rider","app/settings/index.tsx","Confirm Alert -> supabase.auth.signOut() + AsyncStorage 'troski_signed_out'=true -> router.replace('/auth/phone').","Sign Out button shows an Alert with Cancel/Sign Out(destructive); Confirming signs out via Supabase, sets the local signed-out flag, and redirects to /auth/phone; Cancel leaves the user on Settings unchanged","supabase.auth.signOut() has no explicit error handling — a failure could leave the local flag set while the remote session lingers; No handling for signing out while other screens have pending Supabase queries in flight","1) Open Settings, scroll to Sign Out, tap it, tap Cancel — confirm no change 2) Tap Sign Out again, confirm the destructive option, tap Sign Out 3) Confirm redirect to /auth/phone 4) Re-login with +233200000000 / 123456","Passed","","","","","KnownConcerns: sign-out flow verified working; same lack-of-error-handling caveat as PR5 (shared code path). Code confirms confirm Alert -> signOut + troski_signed_out flag + replace('/auth/phone') (settings/index.tsx:86-99). Same no-error-handling caveat as PR5 (duplicated inline, not actually shared code). | Verified: code-walk"
